iso3,date,renewables_share,co2_capita,greenhousegas_capita,inflation,gdp,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,poverty,infant_mortality_1000,life_expectancy,fertility,population,female_population
BLZ,1999,45.5089820359281,1.71563191744881,1789.99996185303,-2.25525349765624,1186222743.75312,,,,,,18.0,20.7,68.734,3.703,238979.0,118646.0
BMU,1999,0.0,,,2.7121512028961,2982406330.88787,,,,,,,,,,61285.0,
BOL,1999,47.3589281113115,0.995510996278824,31760.0002288818,2.41156588906529,27574030464.4297,,,,,,21.9,58.7,61.835,4.133,8257066.0,4103291.0
BRA,1999,90.0369268275195,1.7465315453855,748830.017089844,8.01050087686829,1481869627113.38,,1.3734,,,,15.0,32.3,69.769,2.365,172318674.0,86926088.0
BRB,1999,0.0,4.80671461056368,3640.00010490417,4.43342351579929,3226526908.05637,,,,,,,13.6,76.933,1.762,270455.0,140479.0
BRN,1999,0.0,13.5800425487563,6210.00003814697,11.5939764773489,21021308134.4865,,,,,,,8.5,72.538,2.413,326214.0,160335.0
BTN,1999,100.0,0.346089021017986,910.000026226044,6.17025886010222,1505995818.20968,1.6000000238,0.051,,,,,60.3,59.974,3.701,577886.0,282923.0
BWA,1999,0.0,2.39712841404494,13890.0003433228,14.2352083986974,13317602945.8254,,0.3148,,,,,45.6,51.214,3.371,1610260.0,831779.0
CAF,1999,78.5046728971963,0.0674532654266321,21799.9992370605,4.08471548975844,2459352225.4633,,,,,,,110.6,44.461,5.52,3558019.0,1804003.0
CAN,1999,61.1837048424289,16.258522748018,625309.997558594,3.07133514189172,846412945809.995,3.9000000954,2.1,,,,,5.3,78.8853658536585,1.54,30401286.0,15344448.0
CHE,1999,59.3755915716512,6.23321054015886,53479.9995422363,0.039832310245373,248740021832.269,,,,,,,4.7,79.580487804878,1.48,7143991.0,3654041.0
CHI,1999,0.0,,,3.90963039844397,,,,,,,,,78.742,1.546,147553.0,75779.0
CHL,1999,38.0307371711383,3.58970614993892,73779.9987792969,2.18776787074258,136620685313.385,,,,,,,9.8,76.092,2.11,15162801.0,7703459.0
CHN,1999,16.6814659250101,2.51741988529098,4376500.0,-1.26305893887778,3319971595766.32,2.5199999809,1.212,,,,46.0,31.9,71.063,1.595,1252735000.0,610004104.0
CIV,1999,36.412705003114,0.426007728141952,25719.9993133545,-0.775911929716116,52756702600.1526,,,,,,,97.2,49.891,5.943,16032573.0,7758050.0
CMR,1999,98.7559241706161,0.316954106765759,81389.9993896484,2.18778850065175,29608124920.0371,,,,,,,89.1,50.878,5.645,15112598.0,7590734.0
COD,1999,99.5476818695816,0.0455143188809401,34619.9989318848,441.902491875352,22097352046.8172,,,,,,,108.5,49.557,6.76,45919615.0,23157971.0
COG,1999,85.5855855855856,1.30330380933323,11680.0003051758,29.3553419281933,10504103233.1681,,,,,,,73.1,51.925,4.88,3038432.0,1540143.0
COL,1999,79.8608192050815,1.42053219802896,135839.996337891,12.6229408341709,251611632162.076,,1.3276,,,,21.4,21.8,72.619,2.627,38999468.0,19875544.0
COM,1999,0.0,0.189088461254829,319.999992847443,5.81136042283326,860837025.389184,,,,,,,72.9,59.388,5.466,528853.0,262867.0
CPV,1999,6.65075034106412,0.45189032859562,349.999994039536,7.61207819396112,1109609055.82566,,,,,,,34.2,68.041,3.697,420456.0,218290.0
CRI,1999,97.8471997410165,1.29458067425262,10579.9999237061,11.0294713533385,29206311772.9555,,1.719,,,,6.8,11.7,77.293,2.459,3885428.0,1934770.0
CUB,1999,6.78995307756003,2.52601046508093,43540.0009155273,3.78909596676355,,,5.8516,,,,,7.3,76.475,1.603,11084673.0,5555567.0
CUW,1999,0.718778077268643,,,,,,,,,,,,,,139428.0,73898.0
CYM,1999,0.0,,,,,,,,,,,,,,40423.0,
CYP,1999,0.0,7.41861391783804,7889.9998664856,2.30199201920756,13501992603.8479,,,,,,,6.0,77.875,1.783,926049.0,459549.0
CZE,1999,3.67524431490516,10.8859902799144,133270.004272461,3.04179627426102,158333514882.971,,3.0712,,,,,4.8,74.6682926829268,1.13,10283860.0,5281796.0
DEU,1999,5.19722375553122,10.1533195218436,965059.997558594,0.343135141558832,2158514818382.19,9.1999998093,3.224,,,,0.0,4.5,77.7268292682927,1.36,82100243.0,42151293.0
DJI,1999,0.0,0.5571643477677,1230.00001907349,,,,0.1329,,,,,81.3,56.992,4.622,699973.0,347724.0
DMA,1999,43.2432432432432,1.5752993068683,189.999997615814,2.53638991143232,433163858.933012,,,,,,,13.7,,,69828.0,
DNK,1999,11.2512846865365,10.6599290954055,73510.0021362305,1.68475372464907,141846293400.642,4.3000001907,2.8829,,,,,4.8,76.3414634146341,1.73,5321799.0,2689192.0
DOM,1999,14.2451067976935,2.13225289598058,26440.0005340576,3.83415440241939,53443489094.5434,,,,,,,33.3,69.175,2.882,8343288.0,4163185.0
DZA,1999,0.81997010946399,2.53107051514779,153949.996948242,10.8563363125842,246725425179.206,,,,,,,34.4,70.183,2.635,30623406.0,15103751.0
ECU,1999,69.6255335661622,1.73684381000038,48819.9996948242,-26.2999928320854,71540165654.7739,,1.3724,,,,21.8,26.0,72.425,3.166,12442109.0,6195757.0
EGY,1999,21.4366012117673,1.72611982319758,186070.007324219,0.91943542027353,366212581663.713,,,,,,1.4,39.2,68.357,3.432,67515591.0,33529872.0
ERI,1999,0.467289719626168,0.290514219106718,5449.99980926514,2.31856149221601,3533649355.4762,,,,,,,58.7,54.707,5.43,2237412.0,1124147.0
ESP,1999,13.2668082026069,6.89085253563194,352140.014648438,2.5411710377137,805891424628.996,4.0999999046,3.0454,,,,,4.5,78.7170731707317,1.17,40386875.0,20576752.0
